,area in sqft,baths,beds,latitude,longitude,monthly price in $
0,3075.0,3.0,5.0,33.004779,-117.11568,4200.0
1,1454.0,3.0,3.0,32.997999,-117.07016000000002,2750.0
2,1200.0,2.5,2.0,32.73726,-117.17339,4000.0
3,900.0,1.5,2.0,32.756715,-117.11222,2150.0
4,839.0,2.0,2.0,32.751067,-117.10531999999999,2100.0
5,850.0,1.0,2.0,32.904736,-117.13748600000001,2195.0
6,1315.0,2.0,3.0,32.781759,-117.109338,2695.0
7,741.0,1.0,1.0,32.91957,-117.114333,2310.0
8,1221.0,1.5,3.0,32.859029,-117.22035,2850.0
9,1300.0,1.0,2.0,32.75708,-117.0613,2300.0
10,1540.0,2.0,3.0,32.768701,-117.06357,3600.0
11,600.0,1.0,1.0,32.756054,-117.083919,1499.0
12,2807.0,2.5,4.0,32.948694,-117.222099,4200.0
13,2077.0,2.5,4.0,32.939908,-117.160275,3400.0
14,865.0,1.0,2.0,32.77791,-117.20562,2925.0
15,1000.0,2.0,2.0,32.840047,-117.275855,2850.0
16,1400.0,2.5,2.0,32.752217,-117.150896,3100.0
17,1230.0,2.0,2.0,33.001418,-117.08303000000001,2595.0
18,1611.0,2.5,4.0,32.929609,-117.122919,3100.0
19,1298.0,2.5,2.0,32.98238,-117.25186000000001,3500.0
20,900.0,2.0,2.0,32.807859,-117.15596000000001,1800.0
21,2300.0,2.0,4.0,32.827959,-117.08559,3850.0
22,863.0,2.0,2.0,32.806739,-117.155424,1799.0
23,604.0,1.0,1.0,32.783372,-117.11058200000001,1625.0
24,1450.0,1.0,3.0,32.71474,-117.14217,3500.0
25,1268.0,1.0,3.0,32.683825,-117.10739099999999,2388.0
26,850.0,2.5,2.0,32.753971,-117.12356399999999,2200.0
27,1320.0,3.0,3.0,32.930537,-117.09574599999999,2950.0
28,1866.0,1.5,2.0,32.755646999999996,-117.151023,2700.0
29,1529.0,1.0,3.0,32.747640999999994,-117.139458,2595.0
30,1636.0,2.5,3.0,32.928257,-117.198609,3595.0
31,576.0,1.0,1.0,32.746758,-117.087275,1250.0
32,700.0,1.0,2.0,32.724379,-117.12751000000002,1650.0
33,900.0,2.0,2.0,32.757651,-117.067975,2100.0
34,1825.0,2.5,3.0,32.962234,-117.186255,3800.0
35,900.0,2.0,2.0,32.787987,-117.09634299999999,1750.0
36,1870.0,2.0,2.0,32.847813,-117.262899,3800.0
37,420.0,1.0,0.0,32.764466999999996,-117.137561,1330.0
38,950.0,2.0,2.0,33.026247999999995,-117.08222099999999,2100.0
39,600.0,1.0,1.0,32.744146,-117.14768799999999,1600.0
40,1100.0,2.0,3.0,32.763295,-117.13743000000001,2250.0
41,1130.0,2.0,3.0,32.805034,-117.14299299999999,2550.0
42,1131.0,1.5,3.0,32.961714,-117.116257,2450.0
43,1664.0,3.0,4.0,32.571295,-117.063571,2600.0
44,895.0,2.0,2.0,32.782778,-117.251754,2600.0
45,1100.0,1.5,2.0,32.875494,-117.20823100000001,2200.0
46,432.0,1.0,0.0,32.766878000000005,-117.180384,1200.0
47,700.0,1.0,2.0,32.75698,-117.06612,1650.0
48,1444.0,2.0,2.0,33.019117,-117.07049599999999,2500.0
49,900.0,1.0,1.0,32.724012,-117.167286,2395.0
50,800.0,2.0,2.0,32.75407,-117.08763,1750.0
51,700.0,1.0,2.0,32.761158,-117.07163600000001,1495.0
52,700.0,1.0,2.0,32.761158,-117.07163600000001,1495.0
53,900.0,2.0,2.0,32.754081,-117.104298,1725.0
54,642.0,1.0,1.0,32.809175,-117.258197,2500.0
55,854.0,2.0,1.0,32.813815999999996,-117.08583899999999,1995.0
56,2026.0,2.5,3.0,32.98138,-117.069961,3200.0
57,1300.0,1.0,1.0,32.848588,-117.270858,5000.0
58,1838.0,3.0,4.0,32.738085999999996,-117.10793100000001,2900.0
59,1988.0,2.5,4.0,32.94336,-117.22689,3950.0
60,451.0,1.0,1.0,32.745139,-117.148379,1975.0
61,1350.0,2.0,3.0,32.753698,-117.110075,2750.0
62,570.0,1.0,1.0,32.755903,-117.08869399999999,1445.0
63,1714.0,3.0,3.0,32.868342,-117.234642,3000.0
64,625.0,1.0,2.0,32.743635999999995,-117.17083500000001,1825.0
65,913.0,2.0,2.0,32.794145,-117.230469,3250.0
66,775.0,1.0,1.0,32.743241999999995,-117.12135500000001,1950.0
67,680.0,1.0,1.0,32.756562,-117.128588,1390.0
68,1000.0,1.0,2.0,32.796151,-117.249721,1975.0
69,954.0,2.0,2.0,32.925565999999996,-117.141704,2350.0
70,1682.0,2.5,3.0,32.963566,-117.15566299999999,2850.0
71,300.0,1.0,0.0,32.759228,-117.07640400000001,1300.0
72,1209.0,2.0,2.0,33.0302,-117.076428,2495.0
73,600.0,1.0,1.0,32.802902,-117.199779,1650.0
74,4050.0,5.0,5.0,32.969279,-117.190294,7000.0
75,880.0,2.0,2.0,32.748179,-117.11471499999999,1985.0
76,1350.0,2.5,3.0,32.802858,-117.213497,3090.0
77,2769.0,3.0,4.0,32.927318,-117.210421,6200.0
78,817.0,1.0,2.0,32.800399,-117.246917,3400.0
79,2076.0,3.0,4.0,32.747159,-117.16543200000001,4400.0
80,900.0,2.0,2.0,32.76095,-117.145253,1895.0
81,849.0,2.0,2.0,32.759696999999996,-117.083277,2045.0
82,2302.0,2.5,3.0,32.976732,-117.204916,4650.0
83,1400.0,2.0,3.0,32.715024,-117.131923,3495.0
84,2100.0,2.5,4.0,32.904631,-117.076323,3700.0
85,400.0,1.0,1.0,32.699193,-117.12283400000001,1195.0
86,1800.0,2.0,4.0,32.771532,-117.05823999999998,3900.0
87,1120.0,2.0,3.0,32.830275,-117.216559,2650.0
88,1800.0,2.0,4.0,32.812776,-117.267719,5100.0
89,2344.0,2.5,2.0,33.034045,-117.074541,3700.0
90,1749.0,2.0,3.0,32.962376,-117.14017199999999,3100.0
91,1200.0,3.0,3.0,32.745533,-117.15301200000002,5250.0
92,700.0,1.0,1.0,32.71642,-117.12316000000001,1375.0
93,1686.0,2.0,4.0,32.93238,-117.14265,3295.0
94,1500.0,2.5,3.0,32.86708,-117.21059,3500.0
95,903.0,1.0,1.0,32.71985,-117.16561999999999,2750.0
96,5572.0,5.0,5.0,32.969558,-117.16721299999999,7000.0
97,2353.0,3.0,5.0,32.85628,-117.212448,3995.0
98,756.0,2.0,3.0,32.705544,-117.08618,1750.0
99,3071.0,3.5,4.0,32.954586,-117.24176999999999,4895.0
100,985.0,2.0,2.0,32.747677,-117.165323,1850.0
101,1968.0,2.0,3.0,32.807465,-117.24835,5200.0
102,1584.0,3.0,3.0,32.94343,-117.2383,3200.0
103,474.0,1.0,0.0,32.722468,-117.159108,1800.0
104,1699.0,2.0,4.0,32.950144,-117.132516,3300.0
105,850.0,1.5,2.0,32.765122999999996,-117.11945,2295.0
106,2548.0,3.0,4.0,32.936279,-117.07453999999998,3500.0
107,984.0,2.0,2.0,32.759877,-117.13178400000001,1850.0
108,1200.0,1.0,3.0,32.753917,-117.118858,2250.0
109,1046.0,2.0,2.0,32.773058,-117.16614399999999,2400.0
110,850.0,1.0,2.0,32.747427,-117.14374199999999,1895.0
111,650.0,1.0,1.0,32.753603999999996,-117.135469,1850.0
112,918.0,2.0,2.0,32.9675,-117.23083999999999,1599.0
113,1132.0,2.0,2.0,32.710440000000006,-117.15921000000002,4500.0
114,750.0,1.0,1.0,33.02507,-117.104072,1700.0
115,724.0,1.0,2.0,32.738768,-117.13212,3500.0
116,1400.0,2.0,3.0,32.8119,-117.18350900000002,3375.0
117,3054.0,2.5,4.0,32.78437,-117.05878,5400.0
118,667.0,1.0,1.0,32.786758,-117.108124,1750.0
119,1350.0,2.0,2.0,32.743321,-117.16384099999999,2250.0
120,1300.0,2.0,3.0,32.56488,-117.08025,2750.0
121,825.0,1.0,2.0,32.74989,-117.24448000000001,2150.0
122,1250.0,2.0,2.0,32.782198,-117.083285,1695.0
123,1346.0,3.0,3.0,32.799337,-117.116477,3200.0
124,3122.0,2.0,3.0,32.720939,-117.112481,2000.0
125,850.0,2.0,2.0,32.749037,-117.13721000000001,2190.0
126,900.0,1.0,2.0,32.736696,-117.09818200000001,1700.0
127,900.0,2.0,2.0,32.74812,-117.15554099999999,1800.0
128,1100.0,2.0,2.0,32.81422,-117.17923,2195.0
129,500.0,1.0,1.0,32.798716,-117.250873,1545.0
130,832.0,1.0,2.0,32.742764,-117.22774199999999,1895.0
131,850.0,2.0,2.0,32.749037,-117.13721000000001,2190.0
132,900.0,1.0,2.0,32.736696,-117.09818200000001,1700.0
133,625.0,1.0,1.0,32.753625,-117.125578,1795.0
134,1300.0,2.0,3.0,32.56488,-117.08025,2750.0
135,667.0,1.0,1.0,32.786758,-117.108124,1750.0
136,2445.0,2.5,4.0,32.954144,-117.205242,4550.0
137,572.0,1.0,1.0,32.924355,-117.143468,1750.0
138,2107.0,3.0,4.0,32.922995,-117.1453,3200.0
139,1600.0,2.5,3.0,32.946756,-117.23667900000001,3475.0
140,618.0,1.0,1.0,32.956581,-117.09498300000001,1750.0
141,2025.0,2.5,4.0,32.926068,-117.1636,3200.0
142,2663.0,3.0,4.0,32.947711,-117.217276,4495.0
143,2348.0,3.0,4.0,32.969365,-117.173966,4995.0
144,720.0,2.0,2.0,32.754368,-117.128574,2300.0
145,1552.0,2.5,2.0,32.794558,-117.233186,3300.0
146,750.0,1.0,2.0,32.746571,-117.124698,2595.0
147,306.0,1.0,0.0,32.746601,-117.133905,1295.0
148,750.0,1.0,2.0,32.756646,-117.104281,1895.0
149,670.0,1.0,1.0,32.76016,-117.08541899999999,1395.0
150,550.0,1.0,1.0,32.7549,-117.08578,1300.0
151,520.0,1.0,1.0,32.78904,-117.23613999999999,1990.0
152,700.0,1.0,1.0,32.763108,-117.12375700000001,1500.0
153,1436.0,2.5,3.0,32.945322999999995,-117.22856599999999,3750.0
154,1628.0,2.5,3.0,32.768869,-117.15598,2750.0
155,2700.0,4.0,7.0,32.768144,-117.073097,6300.0
156,1915.0,1.5,3.0,32.850989,-117.22147199999999,3475.0
157,650.0,1.0,1.0,32.756605,-117.120345,1595.0
158,560.0,1.0,1.0,32.758707,-117.10469199999999,1495.0
159,1841.0,2.0,2.0,32.800846,-117.23285600000001,3900.0
160,2541.0,2.5,3.0,32.815379,-117.25053500000001,5500.0
161,669.0,1.0,1.0,32.798971,-117.092795,1495.0
162,1284.0,2.0,3.0,32.955376,-117.251402,4950.0
163,2101.0,2.5,2.0,32.865983,-117.206724,3795.0
164,650.0,1.0,2.0,32.751243,-117.17503400000001,1600.0
165,794.0,1.5,2.0,32.758685,-117.068614,1850.0
166,750.0,1.0,2.0,32.706978,-117.13225600000001,2020.0
167,1883.0,2.0,2.0,32.727981,-117.11055800000001,2500.0
168,2571.0,3.0,5.0,32.957947999999995,-117.130826,3200.0
169,750.0,1.0,1.0,32.735563,-117.25317,1650.0
170,2268.0,2.5,4.0,32.820479999999996,-117.23517,4950.0
171,1000.0,2.0,2.0,32.824379,-117.20700000000001,2400.0
172,1052.0,2.0,2.0,32.920840000000005,-117.11401000000001,2400.0
173,832.0,1.0,2.0,32.744584,-117.14419699999999,1850.0
174,700.0,1.0,1.0,32.749643,-117.24985,2995.0
175,650.0,1.0,1.0,32.738745,-117.22825300000001,1450.0
176,1934.0,2.5,3.0,33.011257,-117.078083,3295.0
177,946.0,2.0,2.0,32.93764,-117.09407900000001,2395.0
178,748.0,1.0,2.0,32.753192,-117.13546699999999,2150.0
179,960.0,2.0,2.0,32.810229,-117.25523100000001,2400.0
180,1471.0,2.5,2.0,32.736832,-117.159719,3195.0
181,1280.0,2.0,2.0,33.008423,-117.06805,2575.0
182,700.0,1.0,2.0,32.795536,-117.247198,2095.0
183,1176.0,2.0,3.0,32.717203999999995,-117.10656000000002,2855.0
184,1700.0,2.0,4.0,32.770055,-117.081759,3625.0
185,600.0,1.0,1.0,32.761409,-117.12208000000001,1350.0
186,1134.0,2.0,3.0,32.923606,-117.15529699999999,2750.0
187,1260.0,2.5,2.0,32.77872,-117.18030900000001,2975.0
188,1050.0,2.0,3.0,32.7584,-117.137243,2395.0
189,600.0,1.0,1.0,32.83466,-117.17691599999999,1550.0
190,1533.0,2.5,3.0,32.945808,-117.235271,3400.0
191,1068.0,2.0,2.0,32.840817,-117.082705,2395.0
192,1100.0,1.0,2.0,32.7611,-117.24949099999999,3000.0
193,1211.0,2.5,2.0,33.02378,-117.110436,2550.0
194,535.0,1.0,1.0,32.749043,-117.156659,1850.0
195,500.0,6.0,0.0,32.75374,-117.09740900000001,950.0
196,800.0,1.0,2.0,32.738811,-117.095785,2100.0
197,600.0,1.0,1.0,32.75374,-117.097301,1300.0
198,987.0,2.0,2.0,32.797655999999996,-117.19122800000001,1995.0
199,1150.0,2.0,3.0,32.777214,-117.17509799999999,2695.0
200,700.0,1.0,1.0,32.804229,-117.22141699999999,1650.0
201,650.0,1.0,1.0,32.806933,-117.22208400000001,1600.0
202,600.0,1.0,2.0,32.791038,-117.24016100000001,2195.0
203,1050.0,1.0,2.0,32.747025,-117.143382,2595.0
204,1156.0,2.0,3.0,32.744172999999996,-117.12746200000001,2450.0
205,650.0,1.0,1.0,32.943863,-117.23218200000001,2000.0
206,1171.0,1.5,2.0,32.770508,-117.18158500000001,2095.0
207,800.0,1.0,2.0,32.787337,-117.23721599999999,2195.0
208,1200.0,2.0,2.0,32.768438,-117.086091,1950.0
209,1274.0,2.5,2.0,32.929586,-117.199747,3095.0
210,625.0,1.0,1.0,32.752096,-117.122095,1495.0
211,3090.0,1.0,2.0,32.803901,-117.24153999999999,1850.0
212,600.0,1.0,1.0,32.797919,-117.23903600000001,1695.0
213,2000.0,3.0,4.0,32.722308,-117.11400400000001,3200.0
214,600.0,1.0,1.0,32.79419,-117.123223,1595.0
215,1458.0,2.5,3.0,32.720878000000006,-117.166519,3999.0
216,800.0,1.0,2.0,32.750943,-117.241768,2295.0
217,1300.0,2.5,3.0,32.74328,-117.25151000000001,3395.0
218,770.0,2.0,2.0,32.762101,-117.12860400000001,2250.0
219,1092.0,2.0,2.0,32.772565,-117.174191,2600.0
220,2419.0,3.5,3.0,32.74573,-117.18162,6250.0
221,1100.0,2.0,3.0,32.727666,-117.11501000000001,3600.0
222,1203.0,2.0,2.0,32.811737,-117.251185,4500.0
223,1284.0,2.5,3.0,32.753772999999995,-117.12084399999999,3300.0
224,890.0,1.0,2.0,32.78895,-117.23658,2998.0
225,1040.0,2.0,2.0,32.815845,-117.178249,1950.0
226,831.0,2.0,2.0,32.912929999999996,-117.13851000000001,2100.0
227,750.0,1.0,2.0,32.758419,-117.08819799999999,1800.0
228,1357.0,2.0,5.0,32.771304,-117.05613400000001,4100.0
229,800.0,1.0,1.0,32.733227,-117.160596,1650.0
230,500.0,1.0,1.0,32.753869,-117.143482,1600.0
231,800.0,2.0,2.0,32.753726,-117.094752,1750.0
232,1400.0,2.0,3.0,32.782691,-117.060627,2900.0
233,784.0,1.0,2.0,32.806162,-117.131075,1750.0
234,600.0,1.0,1.0,32.912929999999996,-117.13851000000001,1690.0
235,1520.0,2.0,3.0,32.806554999999996,-117.23391699999999,4200.0
236,578.0,1.0,1.0,32.766767,-117.05719099999999,1450.0
237,1380.0,2.5,3.0,32.860809,-117.220818,3495.0
238,1007.0,1.0,3.0,32.74034,-117.1095,2500.0
239,927.0,2.0,2.0,32.957343,-117.123659,2100.0
240,600.0,1.0,1.0,32.752305,-117.11659099999999,1650.0
